problem_id,domain,language,prompt,model,run,correct
92277356,Geometry,ES,ZS,GPT-4o,2,1
94075696,Geometry,ES,ZS,GPT-4o,2,1
97250565,Geometry,ES,ZS,GPT-4o,2,0
11110001,Calculus,ES,ZS,GPT-4o,2,1
11110002,Calculus,ES,ZS,GPT-4o,2,1
11110003,Calculus,ES,ZS,GPT-4o,2,0
11110004,Mathematical Logic,ES,ZS,GPT-4o,2,1
11110005,Mathematical Logic,ES,ZS,GPT-4o,2,1
11110006,Mathematical Logic,ES,ZS,GPT-4o,2,0
29686107,Probability,ES,ZS,GPT-4o,2,0
66145698,Probability,ES,ZS,GPT-4o,2,1
39293819,Probability,ES,ZS,GPT-4o,2,0
13410727,Probability,ES,ZS,GPT-4o,2,0
64475599,Probability,ES,ZS,GPT-4o,2,0
11110007,Combinatorics,ES,ZS,GPT-4o,2,0
11110008,Combinatorics,ES,ZS,GPT-4o,2,0
11110009,Combinatorics,ES,ZS,GPT-4o,2,1
11110010,Combinatorics,ES,ZS,GPT-4o,2,1
11110011,Combinatorics,ES,ZS,GPT-4o,2,1
11110012,Combinatorics,ES,ZS,GPT-4o,2,1
11110013,Combinatorics,ES,ZS,GPT-4o,2,0
11110014,Combinatorics,ES,ZS,GPT-4o,2,1
11110015,Combinatorics,ES,ZS,GPT-4o,2,1
11110016,Combinatorics,ES,ZS,GPT-4o,2,0
11110017,Combinatorics,ES,ZS,GPT-4o,2,1
11110018,Combinatorics,ES,ZS,GPT-4o,2,0
11110019,Combinatorics,ES,ZS,GPT-4o,2,0
11110020,Combinatorics,ES,ZS,GPT-4o,2,0
38829155,Calculus,ES,ZS,GPT-4o,3,0
57228746,Geometry,ES,ZS,GPT-4o,3,0
67283791,Geometry,ES,ZS,GPT-4o,3,0
22560123,Calculus,ES,ZS,GPT-4o,3,0
11903135,Geometry,ES,ZS,GPT-4o,3,1
28888083,Geometry,ES,ZS,GPT-4o,3,1
32509360,Geometry,ES,ZS,GPT-4o,3,0
91245748,Calculus,ES,ZS,GPT-4o,3,0
69096660,Calculus,ES,ZS,GPT-4o,3,1
92325881,Calculus,ES,ZS,GPT-4o,3,0
37339456,Calculus,ES,ZS,GPT-4o,3,1
68035715,Geometry,ES,ZS,GPT-4o,3,0
88300591,Mathematical Logic,ES,ZS,GPT-4o,3,1
30264009,Mathematical Logic,ES,ZS,GPT-4o,3,1
69874541,Mathematical Logic,ES,ZS,GPT-4o,3,1
42283864,Mathematical Logic,ES,ZS,GPT-4o,3,1
40400682,Probability,ES,ZS,GPT-4o,3,1
11740200,Mathematical Logic,ES,ZS,GPT-4o,3,0
10016400,Mathematical Logic,ES,ZS,GPT-4o,3,0
22015068,Mathematical Logic,ES,ZS,GPT-4o,3,0
95825976,Probability,ES,ZS,GPT-4o,3,0
13123055,Calculus,ES,ZS,GPT-4o,3,0
41926288,Calculus,ES,ZS,GPT-4o,3,1
39422336,Theory of Numbers,ES,ZS,GPT-4o,3,1
46648638,Algebra,ES,ZS,GPT-4o,3,1
91557340,Algebra,ES,ZS,GPT-4o,3,0
95742475,Theory of Numbers,ES,ZS,GPT-4o,3,1
37465279,Theory of Numbers,ES,ZS,GPT-4o,3,1
46784732,Algebra,ES,ZS,GPT-4o,3,0
77573257,Theory of Numbers,ES,ZS,GPT-4o,3,0
50587904,Algebra,ES,ZS,GPT-4o,3,0
77476392,Calculus,ES,ZS,GPT-4o,3,1
82424055,Mathematical Logic,ES,ZS,GPT-4o,3,1
83268318,Mathematical Logic,ES,ZS,GPT-4o,3,0
12631363,Theory of Numbers,ES,ZS,GPT-4o,3,1
53431694,Theory of Numbers,ES,ZS,GPT-4o,3,0
27600538,Algebra,ES,ZS,GPT-4o,3,1
67048238,Theory of Numbers,ES,ZS,GPT-4o,3,0
10501336,Algebra,ES,ZS,GPT-4o,3,0
10819664,Theory of Numbers,ES,ZS,GPT-4o,3,1
84414289,Theory of Numbers,ES,ZS,GPT-4o,3,0
93030585,Algebra,ES,ZS,GPT-4o,3,1
37967363,Algebra,ES,ZS,GPT-4o,3,0
91250457,Algebra,ES,ZS,GPT-4o,3,1
22774437,Algebra,ES,ZS,GPT-4o,3,1
24705295,Algebra,ES,ZS,GPT-4o,3,1
